episode_id,error,final_text,instruction,pilot_ok,steps,success,task_id,turns,wall_s
0,,,Move one of the pear items to the indicated sofa.,True,10,True,eb_base_000,2,38.63
1,,,Find a orange on the TV stand and move it to the sink.,True,4,True,eb_base_001,2,22.47
2,,,Take an pear and transfer it to the allocated left counter.,True,12,False,eb_base_002,2,46.47
3,,,Find a orange and move it to the right counter.,True,6,True,eb_base_003,2,23.77
4,,,"On the right counter, I need a toy airplane and a orange.",True,31,True,eb_base_004,2,82.21
5,,,I left the fridge open. Can you help?,True,2,True,eb_base_005,2,11.97
6,,,On the TV stand I need you to put a plate.,True,4,True,eb_base_006,2,14.38
7,,,Detach the strawberry from the right counter.,True,2,True,eb_base_007,2,16.34
8,,,Bring a banana and a can to the left counter.,True,31,True,eb_base_008,2,82.82
9,,,"I left my mug on the sofa, can you bring it to the left counter?",True,4,True,eb_base_009,2,23.85
10,,,Find a toy airplane and move it to the right counter.,True,6,True,eb_base_010,2,29.45
11,,,"Hey, on the sink, I accidentally left my plate, can you bring it to the right counter?",True,4,True,eb_base_011,2,16.56
12,,,I need a book on the TV stand. Can you help?,True,6,True,eb_base_012,2,23.94
13,,,"The fridge door is open because of my mistake. Can you close it, please?",True,2,True,eb_base_013,2,23.12
14,,,"On the left counter, remove the lego.",True,2,False,eb_base_014,2,11.7
15,,,The sink needs an hammer and a cup on it.,True,10,True,eb_base_015,2,32.36
16,,,The rubriks cube is on the right counter but you should move it to the sink.,True,4,True,eb_base_016,2,12.81
17,,,Put both an rubriks cube and a lid onto the left counter.,True,19,False,eb_base_017,2,83.22
18,,,Displace the spatula from the sink.,True,4,True,eb_base_018,2,18.45
19,,,Find a wrench and move it to the left counter.,True,6,True,eb_base_019,2,21.72
